Cruise,CTD Station,Site Name,Date,Time,TimeJ,Temperature,Conductivity,Pressure,Sbeox0,Sbeox0PS,Turbidity ,Fluorescence,AltM,Salinity,DepSM,Latitude,Longitude,Niskin Bottle,Phosphate,Silicate,Nitrate and Nitrite  ,Ammonium ,Total Alkalinity ,Total Alkalinity (standard deviation) ,pH,Dissolved Inorganic Carbon,Dissolved Inorganic Carbon (Standard Deviation) ,Calcite Saturation State,Aragonite Saturation State,Fraction Modern,Fraction Modern (error),Conventional Radiocarbon Age,Conventional Radiocarbon Age (error),delta-C-13,Delta-C-14
SH-18-12,3,West Daisy Bank,10/15/18,4:55:59,288.205542,5.9122,33600,355.374,1.442,14.486,0.2741,0.0004,3.43,34.075,352.198,44.6652,-124.8028,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,3,West Daisy Bank,10/15/18,4:56:02,288.205576,5.915,33600,354.757,1.4564,14.632,0.2877,-0.0068,3.87,34.075,351.586,44.6652,-124.8028,2,2.82,48.84,34.75,<0.019,2324.58963,7.82886,-9999,2142.36,0.74,3.02,1.91,0.9268,0.0019,610,15,-0.53,-80.82
SH-18-12,3,West Daisy Bank,10/15/18,5:00:19,288.208549,8.028,35300,200.083,3.2269,33.999,0.1247,-0.0203,96.13,33.936,198.369,44.6652,-124.8028,3,2.32,38.83,28.64,0.02,2275.78479,0.76003,-9999,2081.31,0.59,3.22,2.04,0.9913,0.0019,70,15,-0.5,-16.85
SH-18-12,3,West Daisy Bank,10/15/18,5:02:21,288.20996,8.3846,35600,151.366,3.4224,36.338,0.1414,-0.0041,98.85,33.893,150.087,44.6652,-124.8028,4,2.19,30.71,27.83,<0.019,2268.81027,0.30401,-9999,2081.81,0.64,3.11,1.97,0.9953,0.0021,40,15,-0.47,-12.83
SH-18-12,3,West Daisy Bank,10/15/18,5:04:55,288.211744,8.5705,35700,101.213,3.4686,36.965,0.0932,0.0039,76.97,33.823,100.37,44.6652,-124.8028,5,2.24,35.85,28.21,<0.019,2272.69532,3.95318,-9999,2125.07,0.73,2.74,1.74,0.9961,0.0021,30,15,-0.52,-12.09
SH-18-12,3,West Daisy Bank,10/15/18,5:06:44,288.213005,9.4253,36100,49.551,5.4842,59.443,0.0575,0.1831,77.45,33.515,49.145,44.6652,-124.8028,6,1.75,23.82,21.44,0.03,2257.67004,1.93455,-9999,2092.83,0.74,2.97,1.89,0.9963,0.0021,30,15,-0.13,-11.84
SH-18-12,3,West Daisy Bank,10/15/18,5:08:41,288.214355,10.2212,36000,30.375,8.075,88.574,0.0896,0.9779,66.63,32.664,30.127,44.6652,-124.8028,7,0.86,7.32,6.92,0.26,2213.16313,0.36522,-9999,2019.4,0.77,3.44,2.19,0.9923,0.002,60,15,0.89,-15.85
SH-18-12,3,West Daisy Bank,10/15/18,5:10:19,288.215493,12.2451,37700,9.226,8.4948,97.225,0.1238,1.5147,98.85,32.557,9.151,44.6652,-124.8028,8,0.54,4.95,2.85,0.21,2207.22785,2.50809,-9999,2017.45,0.82,3.37,2.15,0.9925,0.0019,60,15,1.18,-15.66
SH-18-12,3,West Daisy Bank,10/15/18,5:10:26,288.215576,12.3381,37800,9.386,8.4993,97.459,0.1221,1.4723,91,32.545,9.31,44.6652,-124.8028,9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
SH-18-12,1,Daisy Bank 1,10/12/18,11:14:33,285.468436,8.3313,35600,161.352,3.1183,33.072,0.1582,-0.0033,9.47,33.903,159.985,44.6404,-124.7503,3,2.27,37.62,29.39,0.03,2277.70441,3.90481,-9999,2159.11,1.53,2.23,1.41,0.9904,0.0024,80,20,-9999,-17.75
SH-18-12,1,Daisy Bank 1,10/12/18,11:21:53,285.473521,8.6328,35800,100.838,3.9282,41.931,0.1377,0.0218,63.19,33.863,99.998,44.6404,-124.7503,4,2.12,33.24,27.49,<0.019,2268.57141,0.03378,-9999,2072.48,0.59,3.32,2.1,0.9916,0.0021,70,15,-9999,-16.51
SH-18-12,1,Daisy Bank 1,10/12/18,11:24:09,285.4751,9.1878,36000,50.106,5.0332,54.305,0.0503,0.0697,64.27,33.616,49.695,44.6404,-124.7503,5,1.87,24.62,22.74,0.07,2250.21552,0.84447,-9999,2062.98,0.01,3.23,2.05,1.0013,0.0025,>Modern,-9999,-9999,-6.86
SH-18-12,1,Daisy Bank 1,10/12/18,11:25:35,285.476092,10.6586,36600,30.14,7.6615,84.939,0.0668,0.9468,63.09,32.851,29.894,44.6404,-124.7503,6,1.05,10.12,9.98,0.32,2222.05534,2.97342,-9999,2041.37,1.06,3.17,2.01,0.9948,0.0022,40,20,-9999,-13.39
SH-18-12,1,Daisy Bank 1,10/12/18,11:26:43,285.476875,14.3547,39300,9.214,8.2379,98.286,0.138,1.4706,62.19,32.259,9.14,44.6404,-124.7503,7,0.29,3.26,0.32,0.03,2203.78902,3.38882,-9999,2009.25,1.21,3.44,2.19,0.9921,0.0021,65,15,-9999,-16.04
SH-18-12,2,Daisy Bank 2,10/12/18,22:45:17,285.948109,6.9674,34500,286.846,2.2281,22.928,0.3984,0.0024,5.05,34.021,284.329,44.6355,-124.7573,1,2.54,46.34,31.85,0.02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
